"provider_name,""address1"",""address2"",""city"",""state"",""zip"",""public_phone"",""latitude"",""longitude"",""geopoint"",""last_report_date"",""is_pap"",""is_prescribing_svcs_available"",""url_appointment"",""home_delivery"",""is_icatt_site"",""has_usg_product"",""has_commercial_product"",""has_paxlovid"",""has_commercial_paxlovid"",""has_usg_paxlovid"",""has_lagevrio"",""has_commercial_lagevrio"",""has_usg_lagevrio"",""has_veklury"",""has_oseltamivir_generic"",""has_oseltamivir_suspension"",""has_oseltamivir_tamiflu"",""has_baloxavir"",""has_zanamivir"",""has_peramivir"",""grantee_code"",""is_flu"",""is_covid"""
"PUBLIX PHARMACY #0893,""1850 N COURTENAY PKWY"",,""MERRITT ISLAND"",""FL"",""32953"",,""28.38913"",""-80.701834"",""POINT (-80.701834 28.38913)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""PX1"",""false"",""true"""
"BROWNINGS PHARMACY,""141 E HIBISCUS BLVD"",,""MELBOURNE"",""FL"",""32901-3102"",,""28.084748"",""-80.617796"",""POINT (-80.617796 28.084748)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""GN1"",""false"",""true"""
"WALGREENS #3063,""2355 NORTHEAST 26TH ST"",,""FT LAUDERDALE"",""FL"",""33305-1628"",""954-561-3880"",""26.160344"",""-80.116004"",""POINT (-80.116004 26.160344)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""WG1"",""true"",""true"""
"WALGREENS #2941,""3593 CLEVELAND AVE"",,""FORT MYERS"",""FL"",""33901-7975"",""239-936-4741"",""26.611259"",""-81.871233"",""POINT (-81.871233 26.611259)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""WG1"",""true"",""true"""
"WALGREENS #4768,""340 SW 24TH ST"",,""FT LAUDERDALE"",""FL"",""33315-2547"",,""26.093034"",""-80.15597"",""POINT (-80.15597 26.093034)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""WG1"",""false"",""true"""
"WALGREENS #3287,""5108 NORWOOD AVE"",,""JACKSONVILLE"",""FL"",""32208-5003"",""904-768-4491"",""30.370615"",""-81.664026"",""POINT (-81.664026 30.370615)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""WG1"",""true"",""true"""
"WALGREENS #3371,""7910 NW 27TH AVE"",,""MIAMI"",""FL"",""33147-4902"",""305-691-0881"",""25.846521"",""-80.242349"",""POINT (-80.242349 25.846521)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""WG1"",""true"",""true"""
"WALGREENS #13851,""9310 SW 56TH ST"",,""MIAMI"",""FL"",""33165-6529"",""305-274-3040"",""25.715655"",""-80.345587"",""POINT (-80.345587 25.715655)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""WG1"",""true"",""true"""
"WALMART PHARMACY 10-5036,""6192 GUNN HIGHWAY"",,""TAMPA"",""FL"",""33625"",,""28.061799"",""-82.552163"",""POINT (-82.552163 28.061799)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""false"",""WM1"",""false"",""true"""
"WALGREENS #3455,""2501 BROADWAY"",,""RIVIERA BEACH"",""FL"",""33404-4534"",""561-848-6464"",""26.783001"",""-80.055618"",""POINT (-80.055618 26.783001)"",""2025-02-10T00:00:00.000"",""true"",,,""false"",""false"",""false"",""true"",""true"",""true"",""false"",""false"",""false"",""false"",""false"",""true"",""true"",""false"",""false"",""false"",""false"",""WG1"",""true"",""true"""
